id,x_c,y_c,bpl,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
1,-99.810791015625,41.527137756347656,31,01779792,0400000US31,31,NE,Nebraska,00,198972429772,1356294775
2,-120.44686126708984,47.380958557128906,53,01779804,0400000US53,53,WA,Washington,00,172121026344,12540093192
3,-106.10836791992188,34.42136764526367,35,00897535,0400000US35,35,NM,New Mexico,00,314161426332,755674004
4,-100.23050689697266,44.4361572265625,46,01785534,0400000US46,46,SD,South Dakota,00,196349394266,3379810671
5,-85.29045867919922,37.52666473388672,21,01779786,0400000US21,21,KY,Kentucky,00,102266253024,2389483091
6,-83.44632720947266,32.64921951293945,13,01705317,0400000US13,13,GA,Georgia,00,149169759045,4740824950
7,-92.4392547607422,34.89973831176758,5,00068085,0400000US05,05,AR,Arkansas,00,134769279101,2962525273
8,-77.79955291748047,40.87382507324219,42,01779798,0400000US42,42,PA,Pennsylvania,00,115883499352,3396643587
9,-89.66520690917969,32.750858306884766,28,01779790,0400000US28,28,MS,Mississippi,00,121531969224,3928386321
10,-105.5478057861328,38.99854278564453,8,01779779,0400000US08,08,CO,Colorado,00,268428431772,1175462574
11,-111.67820739746094,39.32379150390625,49,01455989,0400000US49,49,UT,Utah,00,212885012434,6999936465
12,-86.3433837890625,35.842979431152344,47,01325873,0400000US47,47,TN,Tennessee,00,106800181941,2352826875
13,-107.55144500732422,42.9996337890625,56,01779807,0400000US56,56,WY,Wyoming,00,251465042238,1861255811
14,-86.27565002441406,39.90814208984375,18,00448508,0400000US18,18,IN,Indiana,00,92790537698,1535887357
15,-152.22097778320312,64.21747589111328,2,01785533,0400000US02,02,AK,Alaska,00,1477946338495,245391672906
16,-116.65522003173828,39.35622787475586,32,01779793,0400000US32,32,NV,Nevada,00,284332114099,2047841189
17,-89.1983871459961,40.065032958984375,17,01779784,0400000US17,17,IL,Illinois,00,143794894211,6200606440
18,-72.66265869140625,44.07518768310547,50,01779802,0400000US50,50,VT,Vermont,00,23872224593,1034382802
19,-109.6451187133789,47.03352737426758,30,00767982,0400000US30,30,MT,Montana,00,376964776680,3868193267
20,-93.50006103515624,42.07461929321289,19,01779785,0400000US19,19,IA,Iowa,00,144667481633,1077969087
21,-80.89611053466797,33.90795135498047,45,01779799,0400000US45,45,SC,South Carolina,00,77858297564,5074366056
22,-111.6644058227539,34.2931022644043,4,01779777,0400000US04,04,AZ,Arizona,00,294204474990,1027559124
23,-170.36968994140625,-14.220148086547852,60,01802701,0400000US60,60,AS,American Samoa,00,197749662,1307107436
24,-82.79010772705078,40.29175567626953,39,01085497,0400000US39,39,OH,Ohio,00,105831379985,10266305761
25,-86.828369140625,32.789825439453125,1,01779775,0400000US01,01,AL,Alabama,00,131173369432,4593984687
26,-90.0116958618164,44.63802337646485,55,01779806,0400000US55,55,WI,Wisconsin,00,140269484183,29365442607
27,-120.55540466308594,43.9366455078125,41,01155107,0400000US41,41,OR,Oregon,00,248608778890,6190771822
28,-92.4773941040039,38.36760330200195,29,01779791,0400000US29,29,MO,Missouri,00,178052626882,2487589369
29,-79.37236785888672,35.54153060913086,37,01027616,0400000US37,37,NC,North Carolina,00,125918092834,13472548815
30,-97.50828552246094,35.58348083496094,40,01102857,0400000US40,40,OK,Oklahoma,00,177663043025,3374050771
31,-78.812255859375,37.515018463134766,51,01779803,0400000US51,51,VA,Virginia,00,102282988386,8503553482
32,-80.61370849609375,38.64259338378906,54,01779805,0400000US54,54,WV,West Virginia,00,62266577599,489469489
33,-91.9856414794922,31.05838966369629,22,01629543,0400000US22,22,LA,Louisiana,00,111903220951,23747902252
34,-85.43714904785156,44.35066986083984,26,01779789,0400000US26,26,MI,Michigan,00,146455475554,104031185771
35,-71.79853057861328,42.253318786621094,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
36,-114.65937042236328,44.38908386230469,16,01779783,0400000US16,16,ID,Idaho,00,214042831252,2397619893
37,-66.46501159667969,18.22203063964844,72,01779808,0400000US72,72,PR,Puerto Rico,00,8867867645,4923406204
38,-82.49748229980469,28.628437042236328,12,00294478,0400000US12,12,FL,Florida,00,138904831800,31406193924
39,-98.38021087646484,38.48470306396485,20,00481813,0400000US20,20,KS,Kansas,00,211752682810,1346896791
40,-71.57759857177734,43.68562698364258,33,01779794,0400000US33,33,NH,New Hampshire,00,23188026108,1026190438
41,-75.50022888183594,38.99153518676758,10,01779781,0400000US10,10,DE,Delaware,00,5047105127,1398742998
42,-99.35069274902344,31.484453201293945,48,01779801,0400000US48,48,TX,Texas,00,676634395761,19027462392
43,-94.30901336669922,46.31632614135742,27,00662849,0400000US27,27,MN,Minnesota,00,206236191895,18924724649
44,-64.80188751220703,17.968994140625,78,01802710,0400000US78,78,VI,United States Virgin Islands,00,347962916,1550265400
45,-72.72571563720703,41.62026596069336,9,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
46,-74.66090393066406,40.18423843383789,34,01779795,0400000US34,34,NJ,New Jersey,00,19048075783,3543447118
47,-100.46930694580078,47.446327209472656,38,01779797,0400000US38,38,ND,North Dakota,00,178711991307,4398999691
48,-76.7724380493164,39.036903381347656,24,01714934,0400000US24,24,MD,Maryland,00,25147417568,6983598596
49,-69.22664642333984,45.37140274047851,23,01779787,0400000US23,23,ME,Maine,00,79885774936,11748561064
50,-156.36305236816406,20.25475692749023,15,01779782,0400000US15,15,HI,Hawaii,00,16634133472,11777724416
51,144.7739715576172,13.443730354309082,66,01802705,0400000US66,66,GU,Guam,00,543558314,934345914
52,145.60804748535156,15.922197341918944,69,01779809,0400000US69,69,MP,Commonwealth of the Northern Mariana Islands,00,472262566,4644320317
53,-71.55364227294922,41.67609405517578,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
54,-119.61073303222656,37.24607467651367,6,01779778,0400000US06,06,CA,California,00,403488955894,20477992907
55,-75.50312042236328,42.94037628173828,36,01779796,0400000US36,36,NY,New York,00,122054140553,19242497698
56,-77.01701354980469,38.904903411865234,11,01702382,0400000US11,11,DC,District of Columbia,00,158364990,18633403
