crime_type,agegroup,arrest_rate
1,15,0.020297864452004433
2,15,0.02658112347126007
3,15,0.012660856358706951
1,16,0.023539379239082336
2,16,0.0306918416172266
3,16,0.020152930170297623
1,17,0.024748800322413445
2,17,0.0326060876250267
3,17,0.029272425919771194
1,18,0.02521887794137001
2,18,0.033540476113557816
3,18,0.0409218892455101
1,19,0.02520599775016308
2,19,0.028078658506274223
3,19,0.04116687923669815
1,20,0.025012271478772163
2,20,0.022710196673870087
3,20,0.037719544023275375
1,21,0.026525476947426796
2,21,0.01939273811876774
3,21,0.03392372652888298
1,22,0.025849424302577972
2,22,0.017002001404762268
3,22,0.030963297933340073
1,23,0.025136977434158325
2,23,0.015185968019068241
3,23,0.02835695445537567
1,24,0.024284467101097107
2,24,0.013918032869696617
3,24,0.026242539286613464
1,25,0.021465079858899117
2,25,0.011530273593962193
3,25,0.02063465677201748
1,26,0.01730131357908249
2,26,0.009401689283549786
3,26,0.014213313348591328
1,27,0.014842930249869823
2,27,0.008537071757018566
3,27,0.011368915438652039
