age,b_age,se_age,base_age,crime,crime_name,b_age_low,b_age_upper
15,-0.10723011940717697,0.008814250119030476,-2.5106637477874756,4,Total,-0.12656939029693604,-0.08528538048267365
16,-0.09882768988609314,0.010301150381565094,-2.3613011837005615,4,Total,-0.12176112085580826,-0.073009192943573
17,-0.055599529296159744,0.012555910274386406,-2.312049150466919,4,Total,-0.08755528926849365,-0.026978449895977974
18,-0.03439339995384216,0.006957670208066702,-2.2315921783447266,4,Total,-0.053559888154268265,-0.02048552967607975
19,-0.046086110174655914,0.006867249961942434,-2.3489603996276855,4,Total,-0.06482744961977005,-0.03343662992119789
20,-0.058701179921627045,0.007704230025410652,-2.4590609073638916,4,Total,-0.07677596807479858,-0.0418301485478878
21,-0.05907465144991875,0.00808032974600792,-2.5119292736053467,4,Total,-0.0787632092833519,-0.041525859385728836
22,-0.04555518180131912,0.010881610214710236,-2.586256980895996,4,Total,-0.07079704105854034,-0.02219334989786148
23,-0.05399544909596443,0.016968099400401115,-2.651240110397339,4,Total,-0.09015300124883652,-0.014292139559984207
24,-0.04741492122411728,0.02307792939245701,-2.7183361053466797,4,Total,-0.09723395854234695,0.006058319937437773
15,-0.05360274016857147,0.014202490448951721,-3.998944044113159,1,Violent,-0.0827282965183258,-0.022130759432911873
16,-0.04402580112218857,0.018591100350022316,-3.816467046737671,1,Violent,-0.08999159187078476,-0.0019902100320905447
17,-0.04470929130911827,0.014831029810011387,-3.761148691177368,1,Violent,-0.08323755860328674,-0.014888069592416286
18,-0.07290267199277878,0.017855269834399223,-3.664250373840332,1,Violent,-0.1113349199295044,-0.027786320075392723
19,-0.08754769712686539,0.021686989814043045,-3.692760467529297,1,Violent,-0.14384177327156067,-0.038900211453437805
20,-0.09292472153902054,0.017041709274053574,-3.6802330017089844,1,Violent,-0.1402864009141922,-0.0584358312189579
21,-0.054775919765233994,0.012843940407037735,-3.6090517044067383,1,Violent,-0.08344996720552444,-0.017285890877246857
22,-0.028028540313243866,0.018758179619908333,-3.6205999851226807,1,Violent,-0.07694394141435623,0.012904729694128036
23,-0.010498800314962864,0.023265520110726357,-3.6435303688049316,1,Violent,-0.07441190630197525,0.037767041474580765
24,5.565300234593451e-4,0.026278860867023468,-3.667475461959839,1,Violent,-0.06475722044706345,0.058284640312194824
15,-0.08194982260465622,0.014270080253481865,-2.9661245346069336,2,Property,-0.11925315856933594,-0.0513060986995697
16,-0.07548847794532776,0.01100348960608244,-2.904310941696167,2,Property,-0.1033516377210617,-0.05418229103088379
17,-0.0376843586564064,0.017799630761146545,-2.9762580394744873,2,Property,-0.08605358004570007,8.595800027251244e-4
18,-0.02194874919950962,0.007645789999514818,-3.0173985958099365,2,Property,-0.044268641620874405,-0.008233759552240372
19,-0.03374655172228813,0.010707910172641277,-3.262601852416992,2,Property,-0.06594052165746689,-0.010034549981355667
20,-0.052302028983831406,0.010060600005090237,-3.5028741359710693,2,Property,-0.07970429211854935,-0.033131491392850876
21,-0.06270036846399307,0.012466040439903736,-3.6577978134155273,2,Property,-0.0955422967672348,-0.03865524008870125
22,-0.045237571001052856,0.01418300997465849,-3.8110570907592773,2,Property,-0.07984291762113571,-0.015600919723510742
23,-0.05097360163927078,0.01779205910861492,-3.932082414627075,2,Property,-0.09096281975507736,-0.009911919943988323
24,-0.053919460624456406,0.0305301696062088,-4.043945789337158,2,Property,-0.13749951124191284,0.008723320439457893
15,-0.22420677542686462,0.03683694824576378,-4.478135108947754,3,Drugs,-0.3066386878490448,-0.1321706473827362
16,-0.18523582816123962,0.02843203954398632,-4.0461931228637695,3,Drugs,-0.24994008243083954,-0.1115301102399826
17,-0.12972494959831238,0.017832890152931213,-3.696678876876831,3,Drugs,-0.166446715593338,-0.08618687838315964
18,-0.020162619650363922,0.013310429640114307,-3.4173645973205566,3,Drugs,-0.0519147589802742,0.00782063975930214
19,-0.03739060088992119,0.01699238084256649,-3.4335930347442627,3,Drugs,-0.08109486848115921,-0.002779589965939522
20,-0.056663259863853455,0.018542500212788582,-3.500518560409546,3,Drugs,-0.09984982013702393,-0.015435120090842247
21,-0.0788024291396141,0.014988100156188011,-3.5670485496520996,3,Drugs,-0.11448334157466888,-0.04812441021203995
22,-0.08000382781028748,0.011780600063502789,-3.6342554092407227,3,Drugs,-0.10678582638502121,-0.0529143288731575
23,-0.07534264028072357,0.011544279754161835,-3.6971471309661865,3,Drugs,-0.09625311195850372,-0.04074772819876671
24,-0.06729301810264587,0.01858339086174965,-3.776245594024658,3,Drugs,-0.10522586852312088,-0.01981176994740963
