"","crime_type","agegroup","arrest_rate"
"1",1,15,0.0202978644520044
"2",2,15,0.0265811234712601
"3",3,15,0.012660856358707
"4",1,16,0.0235393792390823
"5",2,16,0.0306918416172266
"6",3,16,0.0201529301702976
"7",1,17,0.0247488003224134
"8",2,17,0.0326060876250267
"9",3,17,0.0292724259197712
"10",1,18,0.02521887794137
"11",2,18,0.0335404761135578
"12",3,18,0.0409218892455101
"13",1,19,0.0252059977501631
"14",2,19,0.0280786585062742
"15",3,19,0.0411668792366982
"16",1,20,0.0250122714787722
"17",2,20,0.0227101966738701
"18",3,20,0.0377195440232754
"19",1,21,0.0265254769474268
"20",2,21,0.0193927381187677
"21",3,21,0.033923726528883
"22",1,22,0.025849424302578
"23",2,22,0.0170020014047623
"24",3,22,0.0309632979333401
"25",1,23,0.0251369774341583
"26",2,23,0.0151859680190682
"27",3,23,0.0283569544553757
"28",1,24,0.0242844671010971
"29",2,24,0.0139180328696966
"30",3,24,0.0262425392866135
"31",1,25,0.0214650798588991
"32",2,25,0.0115302735939622
"33",3,25,0.0206346567720175
"34",1,26,0.0173013135790825
"35",2,26,0.00940168928354979
"36",3,26,0.0142133133485913
"37",1,27,0.0148429302498698
"38",2,27,0.00853707175701857
"39",3,27,0.011368915438652
